Country/Region,date,cases
Italy,2/1/20,2
Italy,2/2/20,2
Italy,2/3/20,2
Italy,2/4/20,2
Italy,2/5/20,2
Italy,2/6/20,2
Italy,2/7/20,3
Italy,2/8/20,3
Italy,2/9/20,3
Italy,2/10/20,3
Italy,2/11/20,3
Italy,2/12/20,3
Italy,2/13/20,3
Italy,2/14/20,3
Italy,2/15/20,3
Italy,2/16/20,3
Italy,2/17/20,3
Italy,2/18/20,3
Italy,2/19/20,3
Italy,2/20/20,3
Italy,2/21/20,20
Italy,2/22/20,62
Italy,2/23/20,155
Italy,2/24/20,229
Italy,2/25/20,322
Italy,2/26/20,453
Italy,2/27/20,655
Italy,2/28/20,888
Italy,2/29/20,1128
Italy,3/1/20,1694
Italy,3/2/20,2036
Italy,3/3/20,2502
Italy,3/4/20,3089
Italy,3/5/20,3858
Italy,3/6/20,4636
Italy,3/7/20,5883
Italy,3/8/20,7375
Italy,3/9/20,9172
Italy,3/10/20,10149
Italy,3/11/20,12462
Italy,3/12/20,15113
Italy,3/13/20,17660
Italy,3/14/20,21157
Italy,3/15/20,24747
Italy,3/16/20,27980
Italy,3/17/20,31506
Italy,3/18/20,35713
Italy,3/19/20,41035
Italy,3/20/20,47021
Italy,3/21/20,53578
Italy,3/22/20,59138
Italy,3/23/20,63927
Italy,3/24/20,69176
Italy,3/25/20,74386
Italy,3/26/20,80589
Italy,3/27/20,86498
Italy,3/28/20,92472
Italy,3/29/20,97689
